Suburb,Rooms,Type,Price,Date,Postcode,Car,Lattitude,Longtitude,Propertycount
Brighton,3,t,1990000,22/04/2017,3186,2,-37.901,145.0026,10579
Brighton,3,h,3025000,22/04/2017,3186,4,-37.9056,144.9893,10579
Brighton,3,h,1502000,22/04/2017,3186,1,-37.9107,145.0077,10579
Brighton,3,u,1221000,22/04/2017,3186,2,-37.9163,144.9901,10579
Brighton,4,h,2550000,29/04/2017,3186,2,-37.9099,144.9899,10579
Brighton,2,t,1470000,29/04/2017,3186,1,-37.8985,145.0048,10579
Brighton East,3,u,725000,08/04/2017,3187,1,-37.9319,145.0282,6938
Brighton East,5,h,2140000,13/05/2017,3187,2,-37.9173,145.0142,6938
Brighton East,4,h,1630000,13/05/2017,3187,1,-37.9113,145.0207,6938
Brighton East,2,u,910000,13/05/2017,3187,3,-37.9126,145.0105,6938
Brighton East,3,h,1975000,13/05/2017,3187,2,-37.9212,145.013,6938
Brighton East,3,h,1635000,13/05/2017,3187,1,-37.9064,145.0229,6938
Brighton East,8,h,1880000,13/05/2017,3187,3,-37.9097,145.0161,6938
Brighton East,3,h,1743000,13/05/2017,3187,2,-37.9287,145.0273,6938
Brighton East,3,h,2291000,20/05/2017,3187,2,-37.9119,145.011,6938
Brighton East,3,h,1270000,20/05/2017,3187,3,-37.9291,145.0297,6938
Brighton East,3,h,1400000,20/05/2017,3187,2,-37.9304,145.0151,6938
Brighton East,3,h,1640000,22/04/2017,3187,1,-37.9012,145.008,6938
Brighton East,4,t,1700000,29/04/2017,3187,2,-37.9295,145.0144,6938
Brighton East,5,h,1900000,29/04/2017,3187,2,-37.9057,145.0101,6938
Brighton East,3,t,972000,29/04/2017,3187,1,-37.9084,145.0118,6938
Brunswick,3,h,1652000,06/05/2017,3056,2,-37.7723,144.9694,11918
Brunswick,2,u,735000,06/05/2017,3056,2,-37.7586,144.9653,11918
Brunswick,3,h,1210000,06/05/2017,3056,0,-37.7674,144.966,11918
Brunswick,1,h,412000,08/04/2017,3056,1,-37.7598,144.9563,11918
Brunswick,1,u,528000,08/04/2017,3056,1,-37.7767,144.9676,11918
Brunswick,3,h,1115000,08/04/2017,3056,1,-37.7669,144.9664,11918
Brunswick,3,h,1300000,08/04/2017,3056,3,-37.7759,144.952,11918
Brunswick,2,u,320000,08/04/2017,3056,1,-37.762,144.9647,11918
Brunswick,4,h,1500000,08/04/2017,3056,1,-37.7548,144.9545,11918
Brunswick,3,h,1260000,08/04/2017,3056,1,-37.7743,144.9637,11918
Brunswick,4,h,1210000,08/04/2017,3056,1,-37.7733,144.9599,11918
Brunswick,3,h,1200000,08/04/2017,3056,1,-37.7648,144.9633,11918
Brunswick,1,u,315000,08/04/2017,3056,1,-37.7591,144.9577,11918
Brunswick,2,h,830000,13/05/2017,3056,1,-37.766,144.9609,11918
Brunswick,4,h,1385000,13/05/2017,3056,4,-37.7575,144.9716,11918
Brunswick,3,t,981000,13/05/2017,3056,1,-37.7698,144.9661,11918
Brunswick,1,u,418000,13/05/2017,3056,1,-37.7783,144.9635,11918
Brunswick,2,u,585000,20/05/2017,3056,1,-37.7609,144.9623,11918
Brunswick,4,h,1900000,20/05/2017,3056,2,-37.775,144.9513,11918
Brunswick,3,h,1450000,20/05/2017,3056,2,-37.762,144.9678,11918
Brunswick,1,h,1200000,22/04/2017,3056,0,-37.7761,144.9593,11918
Brunswick,2,t,600000,22/04/2017,3056,1,-37.7778,144.9683,11918
Brunswick,3,h,1075000,22/04/2017,3056,0,-37.7743,144.9569,11918
Brunswick,2,h,884000,22/04/2017,3056,0,-37.7731,144.9568,11918
Brunswick,3,h,957000,22/04/2017,3056,2,-37.7589,144.9588,11918
Brunswick,2,u,480000,22/04/2017,3056,1,-37.7732,144.951,11918
Brunswick,4,h,1650000,29/04/2017,3056,4,-37.7602,144.9591,11918
Brunswick,3,h,1440000,29/04/2017,3056,1,-37.7587,144.9529,11918
Brunswick,2,h,955000,29/04/2017,3056,0,-37.7731,144.9568,11918
Brunswick East,4,h,1310000,08/04/2017,3057,2,-37.7671,144.9762,5533
Brunswick East,2,h,1283000,13/05/2017,3057,1,-37.7661,144.9742,5533
Brunswick East,2,h,1025000,13/05/2017,3057,0,-37.7744,144.9733,5533
Brunswick East,2,h,1015000,13/05/2017,3057,0,-37.7738,144.9733,5533
Brunswick East,2,u,500000,13/05/2017,3057,1,-37.7721,144.9719,5533
Brunswick East,2,u,550000,13/05/2017,3057,1,-37.7685,144.9724,5533
Brunswick East,2,u,460000,13/05/2017,3057,1,-37.76,144.9757,5533
Brunswick East,1,h,1185000,13/05/2017,3057,0,-37.7667,144.9802,5533
Brunswick East,2,u,435000,13/05/2017,3057,1,-37.7755,144.9786,5533
Brunswick East,2,t,690000,20/05/2017,3057,1,-37.7762,144.9771,5533
Brunswick East,1,u,385000,20/05/2017,3057,1,-37.7679,144.9725,5533
Brunswick East,2,u,632000,20/05/2017,3057,2,-37.7724,144.9741,5533
Brunswick East,2,u,835000,20/05/2017,3057,2,-37.7761,144.975,5533
Brunswick East,3,h,1500000,22/04/2017,3057,3,-37.7682,144.9835,5533
Brunswick West,2,u,407500,06/05/2017,3055,1,-37.7686,144.9421,7082
Brunswick West,3,t,670000,06/05/2017,3055,2,-37.7597,144.9404,7082
Brunswick West,2,h,825000,06/05/2017,3055,0,-37.7622,144.9406,7082
Brunswick West,3,h,645000,06/05/2017,3055,1,-37.7559,144.9378,7082
Brunswick West,3,h,1222000,08/04/2017,3055,1,-37.7677,144.946,7082
Brunswick West,3,h,1060000,13/05/2017,3055,2,-37.7572,144.9486,7082
Brunswick West,3,h,1220000,13/05/2017,3055,1,-37.766,144.945,7082
Brunswick West,3,h,1097000,13/05/2017,3055,1,-37.7634,144.9434,7082
Brunswick West,3,h,1100000,13/05/2017,3055,1,-37.7585,144.9504,7082
Brunswick West,3,h,1270000,20/05/2017,3055,1,-37.7735,144.9445,7082
Brunswick West,3,t,670000,20/05/2017,3055,2,-37.7609,144.9416,7082
Brunswick West,2,u,640000,20/05/2017,3055,1,-37.7707,144.9488,7082
Brunswick West,3,h,1200000,29/04/2017,3055,2,-37.7744,144.9396,7082
Brunswick West,2,h,545000,29/04/2017,3055,1,-37.7711,144.9487,7082
Brunswick West,4,h,1205000,29/04/2017,3055,2,-37.7606,144.9499,7082
Bulleen,3,u,860000,06/05/2017,3105,1,-37.7769,145.088,4480
Bulleen,2,t,599900,06/05/2017,3105,2,-37.7787,145.0918,4480
Bulleen,4,h,1540000,06/05/2017,3105,2,-37.7766,145.1,4480
Bulleen,4,t,910000,06/05/2017,3105,2,-37.7664,145.0884,4480
Bulleen,3,h,1100000,08/04/2017,3105,3,-37.7612,145.0968,4480
Bulleen,5,h,1730000,13/05/2017,3105,4,-37.7735,145.0936,4480
Bulleen,5,h,760000,20/05/2017,3105,2,-37.7784,145.091,4480
Bulleen,3,h,794000,20/05/2017,3105,0,-37.7618,145.0847,4480
Bulleen,3,h,1360000,20/05/2017,3105,2,-37.7729,145.1022,4480
Bulleen,4,h,1207000,22/04/2017,3105,2,-37.7601,145.0856,4480
Burwood,6,h,1591000,06/05/2017,3125,2,-37.8493,145.1283,5678
Burwood,2,u,580000,06/05/2017,3125,1,-37.8528,145.1318,5678
Burwood,2,u,605000,06/05/2017,3125,1,-37.8495,145.0999,5678
Burwood,3,t,975000,08/04/2017,3125,2,-37.8463,145.1071,5678
Burwood,3,h,1465500,08/04/2017,3125,3,-37.8445,145.1005,5678
Burwood,2,h,870000,13/05/2017,3125,1,-37.8512,145.1145,5678
Burwood,3,h,1385000,13/05/2017,3125,4,-37.8592,145.0948,5678
Burwood,2,h,1815000,20/05/2017,3125,1,-37.8518,145.1278,5678
Burwood,3,h,1590000,20/05/2017,3125,4,-37.8603,145.0979,5678
Burwood,4,u,813000,20/05/2017,3125,2,-37.8499,145.1306,5678
Burwood,4,h,1601000,29/04/2017,3125,1,-37.8539,145.1127,5678
Burwood,5,h,1225000,29/04/2017,3125,2,-37.8557,145.1285,5678
Camberwell,3,h,1930000,06/05/2017,3124,2,-37.8405,145.0924,8920
Camberwell,3,h,2570000,06/05/2017,3124,1,-37.8446,145.0735,8920
Camberwell,4,h,2216000,08/04/2017,3124,0,-37.8378,145.089,8920
Camberwell,4,h,2110000,08/04/2017,3124,3,-37.8411,145.062,8920
Camberwell,2,h,855000,08/04/2017,3124,2,-37.8442,145.0942,8920
Camberwell,2,u,771000,08/04/2017,3124,1,-37.8434,145.0675,8920
Camberwell,4,h,2513000,13/05/2017,3124,3,-37.8355,145.0665,8920
Camberwell,2,h,1900000,13/05/2017,3124,3,-37.8427,145.0824,8920
Camberwell,3,h,1620000,13/05/2017,3124,2,-37.8378,145.0909,8920
Camberwell,4,h,3550000,13/05/2017,3124,1,-37.8269,145.0661,8920
Camberwell,4,h,1980000,13/05/2017,3124,2,-37.8416,145.0959,8920
Camberwell,3,h,1861000,13/05/2017,3124,2,-37.8418,145.0916,8920
Camberwell,2,h,1402000,13/05/2017,3124,0,-37.845,145.071,8920
Camberwell,3,h,1905000,20/05/2017,3124,2,-37.8333,145.0616,8920
Camberwell,4,h,5020000,20/05/2017,3124,3,-37.823,145.0621,8920
Camberwell,4,h,2990000,20/05/2017,3124,2,-37.8284,145.0673,8920
Camberwell,4,h,1855000,20/05/2017,3124,1,-37.8304,145.0709,8920
Camberwell,4,h,1500000,22/04/2017,3124,2,-37.8417,145.097,8920
Camberwell,3,u,835000,29/04/2017,3124,1,-37.8378,145.0949,8920
Canterbury,5,h,3115000,08/04/2017,3126,0,-37.8192,145.067,3265
Canterbury,2,u,913000,08/04/2017,3126,1,-37.8322,145.0816,3265
Canterbury,4,h,2510000,13/05/2017,3126,2,-37.8214,145.0843,3265
Canterbury,5,h,8000000,13/05/2017,3126,4,-37.8179,145.0694,3265
Canterbury,3,t,1775000,13/05/2017,3126,2,-37.8178,145.0649,3265
Canterbury,3,h,3725000,13/05/2017,3126,2,-37.8203,145.0785,3265
Carlton North,4,h,3450000,13/05/2017,3054,1,-37.7817,144.9742,3106
Carlton North,2,h,1290000,13/05/2017,3054,0,-37.7822,144.9748,3106
Carlton North,3,h,1614500,20/05/2017,3054,0,-37.7875,144.9749,3106
Carlton North,4,h,1550000,20/05/2017,3054,0,-37.7875,144.9732,3106
Carlton North,1,u,595000,20/05/2017,3054,0,-37.7823,144.9767,3106
Carlton North,3,h,1300000,22/04/2017,3054,0,-37.7927,144.9745,3106
Carlton North,5,h,2450000,29/04/2017,3054,2,-37.7915,144.9737,3106
Carnegie,4,t,1201000,06/05/2017,3163,2,-37.8898,145.0632,7822
Carnegie,2,u,635000,06/05/2017,3163,1,-37.8981,145.0619,7822
Carnegie,2,h,1424000,08/04/2017,3163,1,-37.8972,145.0524,7822
Carnegie,1,u,285000,08/04/2017,3163,1,-37.8875,145.0489,7822
Carnegie,1,u,305000,08/04/2017,3163,1,-37.8858,145.0632,7822
Carnegie,3,u,1105000,13/05/2017,3163,2,-37.8993,145.0531,7822
Carnegie,3,h,1200000,13/05/2017,3163,2,-37.8924,145.0541,7822
Carnegie,3,u,945000,20/05/2017,3163,2,-37.8958,145.0603,7822
Carnegie,2,u,603000,20/05/2017,3163,1,-37.8912,145.0644,7822
Carnegie,3,h,1390000,20/05/2017,3163,2,-37.9027,145.0582,7822
Carnegie,4,h,1667000,20/05/2017,3163,2,-37.8928,145.0531,7822
Carnegie,1,u,330000,22/04/2017,3163,1,-37.8944,145.0616,7822
Carnegie,3,u,577000,29/04/2017,3163,1,-37.8866,145.0561,7822
Caulfield,2,u,535000,06/05/2017,3162,1,-37.8883,145.0342,2379
Caulfield North,1,u,305000,08/04/2017,3161,1,-37.8678,145.0197,6923
Caulfield North,2,u,550000,08/04/2017,3161,1,-37.8663,145.0104,6923
Caulfield North,2,u,655000,13/05/2017,3161,1,-37.8806,145.0346,6923
Caulfield North,4,h,1300000,20/05/2017,3161,1,-37.8738,145.0349,6923
Caulfield North,4,h,1700000,20/05/2017,3161,2,-37.8781,145.0235,6923
Caulfield North,2,u,575000,20/05/2017,3161,1,-37.8692,145.0233,6923
Caulfield North,2,u,742500,29/04/2017,3161,1,-37.8607,145.0116,6923
Caulfield South,3,t,1000000,13/05/2017,3162,2,-37.8924,145.0154,5051
Caulfield South,2,h,1104000,13/05/2017,3162,1,-37.8989,145.0171,5051
Caulfield South,2,u,630000,20/05/2017,3162,1,-37.8937,145.0137,5051
Caulfield South,3,h,1350000,20/05/2017,3162,1,-37.8899,145.023,5051
Caulfield South,2,h,997000,29/04/2017,3162,2,-37.8895,145.0229,5051
Caulfield South,2,u,490000,29/04/2017,3162,1,-37.8906,145.0259,5051
Chadstone,3,u,701000,08/04/2017,3148,2,-37.8856,145.0934,3582
Chadstone,3,t,905000,20/05/2017,3148,2,-37.886,145.096,3582
Chadstone,3,u,988000,20/05/2017,3148,2,-37.8755,145.0954,3582
Chadstone,3,t,820000,20/05/2017,3148,2,-37.8827,145.0942,3582
Clifton Hill,4,h,1825000,06/05/2017,3068,2,-37.7888,144.9929,2954
Clifton Hill,3,h,1500000,08/04/2017,3068,1,-37.788,144.9967,2954
Clifton Hill,2,u,641000,08/04/2017,3068,1,-37.7881,145.0058,2954
Clifton Hill,2,h,1250000,13/05/2017,3068,0,-37.7925,144.9995,2954
Clifton Hill,3,h,1652500,13/05/2017,3068,0,-37.7933,144.9938,2954
Clifton Hill,2,h,1250000,13/05/2017,3068,1,-37.7914,144.9967,2954
Clifton Hill,3,h,1660000,13/05/2017,3068,2,-37.7906,144.9993,2954
Clifton Hill,1,u,465000,13/05/2017,3068,1,-37.7881,145.0058,2954
Clifton Hill,2,h,700000,20/05/2017,3068,0,-37.7938,144.989,2954
Clifton Hill,2,h,1000000,20/05/2017,3068,0,-37.7936,144.9899,2954
Clifton Hill,2,u,712000,20/05/2017,3068,1,-37.7926,145.0019,2954
Clifton Hill,2,h,1650000,29/04/2017,3068,1,-37.7933,144.9926,2954
Coburg,2,u,495000,06/05/2017,3058,0,-37.7506,144.9694,11204
Coburg,2,h,930000,06/05/2017,3058,0,-37.7424,144.9576,11204
Coburg,2,t,781000,08/04/2017,3058,1,-37.7422,144.9604,11204
Coburg,3,h,995000,08/04/2017,3058,1,-37.7509,144.9591,11204
Coburg,2,h,677776,08/04/2017,3058,2,-37.7519,144.9496,11204
Coburg,3,h,790000,08/04/2017,3058,1,-37.7408,144.9474,11204
Coburg,4,t,680000,13/05/2017,3058,1,-37.7551,144.9787,11204
Coburg,3,h,1180000,13/05/2017,3058,2,-37.7445,144.9751,11204
Coburg,3,h,940500,13/05/2017,3058,3,-37.7348,144.9509,11204
Coburg,3,t,824000,13/05/2017,3058,2,-37.7462,144.9795,11204
Coburg,2,h,941000,13/05/2017,3058,2,-37.7355,144.9545,11204
Coburg,2,h,775000,13/05/2017,3058,1,-37.7485,144.9502,11204
Coburg,3,h,985000,13/05/2017,3058,2,-37.7418,144.9562,11204
Coburg,3,h,1020000,20/05/2017,3058,0,-37.7377,144.9584,11204
Coburg,4,h,1500000,20/05/2017,3058,1,-37.7503,144.9481,11204
Coburg,2,u,590000,20/05/2017,3058,1,-37.746,144.9768,11204
Coburg,4,h,1005000,20/05/2017,3058,1,-37.7483,144.9634,11204
Coburg,4,h,901000,22/04/2017,3058,1,-37.7364,144.9787,11204
Coburg,3,h,990000,29/04/2017,3058,3,-37.7432,144.9573,11204
Coburg,6,h,1455000,29/04/2017,3058,4,-37.7397,144.9603,11204
Coburg,3,h,1250000,29/04/2017,3058,2,-37.7382,144.9653,11204
Coburg,3,h,710000,29/04/2017,3058,1,-37.7411,144.9657,11204
Coburg,5,h,1790000,29/04/2017,3058,2,-37.7516,144.9593,11204
Coburg,2,u,650000,29/04/2017,3058,1,-37.7449,144.9754,11204
Coburg,3,t,720000,29/04/2017,3058,2,-37.7424,144.9571,11204
Coburg,3,t,720000,29/04/2017,3058,2,-37.7424,144.9571,11204
Coburg North,4,h,1240000,08/04/2017,3058,2,-37.7317,144.9829,3445
Coburg North,3,h,875000,08/04/2017,3058,1,-37.72,144.9577,3445
Coburg North,3,h,887000,08/04/2017,3058,2,-37.7266,144.9647,3445
Coburg North,4,h,770000,13/05/2017,3058,1,-37.7304,144.9605,3445
Coburg North,2,u,330000,22/04/2017,3058,1,-37.7218,144.9563,3445
Collingwood,2,u,535000,06/05/2017,3066,1,-37.7981,144.9883,4553
Collingwood,3,t,1308000,08/04/2017,3066,2,-37.7953,144.9864,4553
Collingwood,2,t,945000,08/04/2017,3066,1,-37.8035,144.985,4553
Collingwood,1,u,550000,08/04/2017,3066,0,-37.8053,144.9833,4553
Collingwood,3,h,1309000,13/05/2017,3066,0,-37.7975,144.9924,4553
Collingwood,3,h,1300000,20/05/2017,3066,1,-37.8011,144.9861,4553
Collingwood,2,h,888000,20/05/2017,3066,0,-37.8001,144.9901,4553
Collingwood,3,u,1000000,22/04/2017,3066,2,-37.8083,144.9908,4553
Cremorne,3,h,1350000,06/05/2017,3121,1,-37.8298,144.9923,1123
Cremorne,2,h,855000,08/04/2017,3121,0,-37.8262,144.9922,1123
Doncaster,4,h,1480000,08/04/2017,3108,2,-37.7833,145.1302,9028
Doncaster,4,h,1300000,08/04/2017,3108,2,-37.7906,145.1138,9028
Doncaster,4,h,1400000,08/04/2017,3108,2,-37.7895,145.1116,9028
Doncaster,3,h,1542000,08/04/2017,3108,2,-37.7883,145.1387,9028
Doncaster,4,h,1100000,13/05/2017,3108,2,-37.7905,145.1433,9028
Doncaster,2,u,782000,22/04/2017,3108,1,-37.7731,145.1044,9028
Doncaster,4,t,1090000,22/04/2017,3108,2,-37.7866,145.1046,9028
Doncaster,3,h,1700000,29/04/2017,3108,2,-37.7803,145.1248,9028
Doncaster,3,h,1355000,29/04/2017,3108,1,-37.7909,145.1309,9028
Doncaster,4,h,1880000,29/04/2017,3108,2,-37.7859,145.12,9028
Doncaster,4,h,1545000,29/04/2017,3108,2,-37.7819,145.1184,9028
Doncaster,4,h,1955000,29/04/2017,3108,2,-37.7929,145.1184,9028
Essendon,2,u,440000,06/05/2017,3040,1,-37.749,144.9067,9264
Essendon,3,h,1700000,06/05/2017,3040,1,-37.7573,144.9221,9264
Essendon,3,h,1070000,06/05/2017,3040,2,-37.7445,144.9054,9264
Essendon,2,h,745000,06/05/2017,3040,1,-37.7459,144.8962,9264
Essendon,4,h,1400000,08/04/2017,3040,1,-37.7558,144.9106,9264
Essendon,3,h,1400000,08/04/2017,3040,2,-37.7427,144.898,9264
Essendon,5,h,2020000,08/04/2017,3040,3,-37.7485,144.9036,9264
Essendon,1,u,325000,08/04/2017,3040,1,-37.7537,144.917,9264
Essendon,3,h,1400000,13/05/2017,3040,1,-37.7526,144.9089,9264
Essendon,2,u,700000,13/05/2017,3040,1,-37.7491,144.8968,9264
Essendon,5,h,1652000,20/05/2017,3040,1,-37.7459,144.9159,9264
Essendon,3,h,1131000,20/05/2017,3040,1,-37.755,144.9272,9264
Essendon,5,h,1607500,20/05/2017,3040,1,-37.7577,144.9267,9264
Essendon,2,u,450000,20/05/2017,3040,1,-37.7552,144.9211,9264
Essendon,1,u,310000,20/05/2017,3040,1,-37.7469,144.9206,9264
Essendon,3,h,1400000,20/05/2017,3040,1,-37.7495,144.9157,9264
Essendon,4,h,1720000,20/05/2017,3040,2,-37.7471,144.9157,9264
Essendon,3,h,983000,20/05/2017,3040,2,-37.7457,144.8912,9264
Essendon,1,u,330000,20/05/2017,3040,1,-37.7478,144.912,9264
Essendon,4,t,1162500,20/05/2017,3040,1,-37.7547,144.9239,9264
Essendon,2,u,707000,22/04/2017,3040,1,-37.7514,144.8966,9264
Essendon,3,u,700000,22/04/2017,3040,1,-37.7496,144.892,9264
Essendon,2,u,510000,22/04/2017,3040,1,-37.7465,144.91,9264
Essendon,2,u,610000,22/04/2017,3040,1,-37.7504,144.8957,9264
Essendon,3,h,960000,22/04/2017,3040,1,-37.7544,144.8986,9264
Essendon,1,h,350000,22/04/2017,3040,1,-37.7515,144.9125,9264
Essendon,1,u,426500,29/04/2017,3040,1,-37.7578,144.9134,9264
Fairfield,2,u,676000,06/05/2017,3078,1,-37.7847,145.0109,2970
Fairfield,3,h,1500000,13/05/2017,3078,2,-37.783,145.0165,2970
Fawkner,3,h,700000,06/05/2017,3060,2,-37.7023,144.9773,5070
Fawkner,3,h,660000,08/04/2017,3060,2,-37.695,144.9676,5070
Fawkner,3,h,741000,08/04/2017,3060,3,-37.6966,144.9695,5070
Fawkner,2,h,949500,13/05/2017,3060,1,-37.7052,144.964,5070
Fawkner,3,u,532000,13/05/2017,3060,1,-37.7049,144.9631,5070
Fawkner,3,h,698000,13/05/2017,3060,1,-37.6995,144.9669,5070
Fawkner,3,h,687000,20/05/2017,3060,1,-37.7071,144.9706,5070
Fawkner,3,h,670000,20/05/2017,3060,2,-37.6937,144.9658,5070
Fawkner,3,h,1000000,20/05/2017,3060,2,-37.6931,144.9596,5070
Fawkner,2,u,445000,29/04/2017,3060,1,-37.6956,144.9656,5070
Fawkner,3,h,730000,29/04/2017,3060,2,-37.6952,144.9613,5070
Fawkner,2,h,725000,29/04/2017,3060,2,-37.709,144.9646,5070
Fawkner,3,h,668000,29/04/2017,3060,1,-37.6992,144.9739,5070
Fawkner,2,u,328000,29/04/2017,3060,1,-37.7071,144.9644,5070
Fawkner,3,t,543500,29/04/2017,3060,3,-37.7133,144.975,5070
Fitzroy North,2,h,1200000,06/05/2017,3068,0,-37.7925,144.9797,6244
Fitzroy North,1,u,330000,06/05/2017,3068,1,-37.777,144.9836,6244
Fitzroy North,2,h,846000,08/04/2017,3068,0,-37.7933,144.9824,6244
Fitzroy North,2,h,1345000,08/04/2017,3068,0,-37.7831,144.9805,6244
Fitzroy North,2,h,1802500,08/04/2017,3068,1,-37.7843,144.9902,6244
Fitzroy North,2,h,1520000,20/05/2017,3068,0,-37.7904,144.9836,6244
Fitzroy North,3,h,1625000,20/05/2017,3068,0,-37.7911,144.9818,6244
Fitzroy North,3,h,2555000,20/05/2017,3068,1,-37.7869,144.9863,6244
Fitzroy North,2,h,1055000,29/04/2017,3068,0,-37.7793,144.9879,6244
Fitzroy North,1,h,950000,29/04/2017,3068,0,-37.7759,144.9823,6244
Flemington,2,h,1100000,06/05/2017,3031,1,-37.7837,144.9338,3593
Flemington,3,h,1250000,06/05/2017,3031,2,-37.7824,144.9243,3593
Flemington,2,h,953000,08/04/2017,3031,0,-37.7813,144.9238,3593
Flemington,2,u,603000,08/04/2017,3031,1,-37.788,144.9306,3593
Flemington,3,h,940000,08/04/2017,3031,1,-37.7844,144.9359,3593
Flemington,5,h,1550000,13/05/2017,3031,1,-37.7859,144.9323,3593
Flemington,2,u,500000,13/05/2017,3031,1,-37.7829,144.9247,3593
Flemington,2,u,450000,13/05/2017,3031,1,-37.7826,144.9311,3593
Flemington,2,u,390000,22/04/2017,3031,1,-37.7851,144.922,3593
Flemington,3,h,1205000,22/04/2017,3031,0,-37.7823,144.9317,3593
Flemington,3,h,1085000,22/04/2017,3031,1,-37.7839,144.9273,3593
Flemington,2,h,1060000,29/04/2017,3031,0,-37.7846,144.9347,3593
Flemington,3,h,917000,29/04/2017,3031,0,-37.7868,144.9336,3593
Footscray,2,u,392500,06/05/2017,3011,1,-37.7949,144.9007,7570
Footscray,3,h,1320000,06/05/2017,3011,1,-37.7951,144.8861,7570
Footscray,2,u,400000,06/05/2017,3011,1,-37.8025,144.9052,7570
Footscray,2,h,885000,08/04/2017,3011,0,-37.7961,144.89,7570
Footscray,2,t,485000,08/04/2017,3011,1,-37.7883,144.884,7570
Footscray,3,t,760000,08/04/2017,3011,1,-37.796,144.8819,7570
Footscray,3,h,1375000,08/04/2017,3011,3,-37.7942,144.8934,7570
Footscray,3,h,1270000,08/04/2017,3011,1,-37.7939,144.8936,7570
Footscray,3,h,871000,13/05/2017,3011,1,-37.7951,144.8901,7570
Footscray,2,u,360000,20/05/2017,3011,1,-37.7953,144.8957,7570
Footscray,1,u,315000,20/05/2017,3011,1,-37.7971,144.8883,7570
Footscray,3,h,831000,20/05/2017,3011,0,-37.7947,144.8871,7570
Footscray,4,t,961000,22/04/2017,3011,2,-37.7949,144.8966,7570
Footscray,2,h,882000,29/04/2017,3011,0,-37.7936,144.8905,7570
Footscray,3,h,895000,29/04/2017,3011,2,-37.7977,144.904,7570
Glen Huntly,1,u,260000,13/05/2017,3163,1,-37.8911,145.0451,2403
Glen Huntly,2,u,575000,22/04/2017,3163,1,-37.8898,145.0438,2403
Glen Iris,3,h,1452000,06/05/2017,3146,2,-37.854,145.0542,10412
Glen Iris,2,u,721000,08/04/2017,3146,1,-37.8558,145.0518,10412
Glen Iris,3,h,1800000,08/04/2017,3146,3,-37.8562,145.0864,10412
Glen Iris,3,t,1253000,08/04/2017,3146,2,-37.8574,145.0494,10412
Glen Iris,5,h,1950000,13/05/2017,3146,2,-37.8508,145.0592,10412
Glen Iris,3,h,2085000,13/05/2017,3146,2,-37.8578,145.0682,10412
Glen Iris,4,h,1760000,13/05/2017,3146,3,-37.858,145.0859,10412
Glen Iris,2,u,710000,13/05/2017,3146,2,-37.8521,145.0763,10412
Glen Iris,4,h,2340000,13/05/2017,3146,2,-37.8541,145.0738,10412
Glen Iris,3,h,3310000,20/05/2017,3146,2,-37.8605,145.0455,10412
Glen Iris,3,h,1601000,20/05/2017,3146,2,-37.8487,145.0592,10412
Glen Iris,2,t,797000,20/05/2017,3146,2,-37.8637,145.0632,10412
Glen Iris,2,u,910000,29/04/2017,3146,1,-37.8499,145.0814,10412
Glen Iris,3,t,1315000,29/04/2017,3146,2,-37.8644,145.063,10412
Glenroy,3,h,683000,06/05/2017,3046,2,-37.6969,144.9425,8870
Glenroy,3,h,1158000,06/05/2017,3046,1,-37.7115,144.912,8870
Glenroy,4,h,793000,06/05/2017,3046,2,-37.7088,144.9204,8870
Glenroy,3,h,780000,06/05/2017,3046,2,-37.702,144.9538,8870
Glenroy,2,t,420000,06/05/2017,3046,1,-37.7045,144.9204,8870
Glenroy,3,h,895000,06/05/2017,3046,2,-37.7097,144.9256,8870
Glenroy,3,h,885000,08/04/2017,3046,2,-37.6962,144.9376,8870
Glenroy,3,h,597500,13/05/2017,3046,2,-37.6962,144.9349,8870
Glenroy,3,h,690000,13/05/2017,3046,2,-37.699,144.9421,8870
Glenroy,3,h,822000,13/05/2017,3046,2,-37.6972,144.941,8870
Glenroy,3,h,710000,13/05/2017,3046,2,-37.6995,144.905,8870
Glenroy,3,h,730000,20/05/2017,3046,4,-37.702,144.9173,8870
Glenroy,3,h,901000,20/05/2017,3046,2,-37.709,144.9368,8870
Glenroy,3,h,643000,20/05/2017,3046,2,-37.6957,144.9231,8870
Glenroy,5,t,645000,20/05/2017,3046,1,-37.6979,144.941,8870
Glenroy,3,t,595000,20/05/2017,3046,2,-37.7047,144.9087,8870
Glenroy,3,h,820000,22/04/2017,3046,1,-37.7073,144.9355,8870
Glenroy,4,h,1050000,22/04/2017,3046,2,-37.709,144.9373,8870
Glenroy,3,h,621000,22/04/2017,3046,1,-37.6977,144.9116,8870
Glenroy,3,h,705000,22/04/2017,3046,2,-37.6974,144.9112,8870
Glenroy,3,u,590000,29/04/2017,3046,2,-37.7074,144.9266,8870
Glenroy,3,t,680000,29/04/2017,3046,2,-37.7116,144.9357,8870
Glenroy,3,h,935000,29/04/2017,3046,2,-37.7015,144.9191,8870
Glenroy,3,t,720000,29/04/2017,3046,3,-37.7098,144.9266,8870
Hadfield,3,h,725000,13/05/2017,3046,2,-37.71,144.9464,2606
Hadfield,3,h,740000,20/05/2017,3046,4,-37.706,144.9467,2606
Hadfield,4,h,880000,22/04/2017,3046,2,-37.7058,144.9431,2606
Hadfield,3,t,630000,29/04/2017,3046,1,-37.7114,144.9396,2606
